"","Regional sea","P","EC","count","Smean","Smedian"
"147","Mediteranean Sea",5,19,6,3,3
"148","Mediteranean Sea",5,20,6,3,3
"149","Mediteranean Sea",5,21,6,3,3
"150","Mediteranean Sea",5,22,6,3,3
"151","Mediteranean Sea",5,23,6,2.5,2.5
"152","Mediteranean Sea",5,24,6,3,3
"153","Mediteranean Sea",5,25,6,1.5,1.5
"154","Mediteranean Sea",5,26,6,1.5,1.5
"155","Mediteranean Sea",5,27,6,1.5,1.5
"156","Mediteranean Sea",5,28,6,1.5,1.5
"157","Mediteranean Sea",5,29,6,1.5,1.5
"158","Mediteranean Sea",5,30,6,1.5,1.5
"159","Mediteranean Sea",5,31,6,1.5,1.5
"160","Mediteranean Sea",5,32,6,1.5,1.5
"161","Mediteranean Sea",6,1,6,2,2
"162","Mediteranean Sea",6,2,6,2,2
"163","Mediteranean Sea",6,3,6,2.5,2.5
"164","Mediteranean Sea",6,4,6,2.5,2.5
"165","Mediteranean Sea",6,5,6,2.5,2.5
"166","Mediteranean Sea",6,6,6,2.5,2.5
"167","Mediteranean Sea",6,7,6,0.5,0.5
"168","Mediteranean Sea",6,8,6,0.5,0.5
"169","Mediteranean Sea",6,9,6,0.5,0.5
"170","Mediteranean Sea",6,10,6,0.5,0.5
"171","Mediteranean Sea",6,11,6,0.5,0.5
"172","Mediteranean Sea",6,12,6,0.5,0.5
"173","Mediteranean Sea",6,13,6,0.5,0.5
"174","Mediteranean Sea",6,14,6,2,2
"175","Mediteranean Sea",6,15,6,1,1
"176","Mediteranean Sea",6,16,6,2.5,2.5
"177","Mediteranean Sea",6,17,6,2.5,2.5
"178","Mediteranean Sea",6,18,6,3,3
"179","Mediteranean Sea",6,19,6,3,3
"180","Mediteranean Sea",6,20,6,2.5,2.5
"181","Mediteranean Sea",6,21,6,1,1
"182","Mediteranean Sea",6,22,6,1,1
"183","Mediteranean Sea",6,23,6,1,1
"184","Mediteranean Sea",6,24,6,1,1
"185","Mediteranean Sea",6,25,6,1.5,1.5
"186","Mediteranean Sea",6,26,6,1.5,1.5
"187","Mediteranean Sea",6,27,6,0.5,0.5
"188","Mediteranean Sea",6,28,6,0.5,0.5
"189","Mediteranean Sea",6,29,6,0.5,0.5
"190","Mediteranean Sea",6,30,6,0.5,0.5
"191","Mediteranean Sea",6,31,6,1,1
"192","Mediteranean Sea",6,32,6,0.5,0.5
"193","Mediteranean Sea",7,1,6,2,2
