"Regional sea","P","EC","count","Smean","Smedian"
"North East Atlantic",8,28,9,0.67,1
"North East Atlantic",8,29,9,0.67,1
"North East Atlantic",8,30,9,0.89,1
"North East Atlantic",8,31,9,1.22,1
"North East Atlantic",8,32,10,1.3,1
"North East Atlantic",9,1,9,1.33,2
"North East Atlantic",9,2,9,1.56,2
"North East Atlantic",9,3,9,1.56,2
"North East Atlantic",9,4,9,1.56,2
"North East Atlantic",9,5,9,1.56,2
"North East Atlantic",9,6,9,1.56,2
"North East Atlantic",9,7,9,1.44,1
"North East Atlantic",9,8,9,1.44,1
"North East Atlantic",9,9,9,1.44,1
"North East Atlantic",9,10,9,1.44,1
"North East Atlantic",9,11,9,1.67,2
"North East Atlantic",9,12,9,1.67,2
"North East Atlantic",9,13,9,1.67,2
"North East Atlantic",9,14,9,2.33,2
"North East Atlantic",9,15,9,1.67,2
"North East Atlantic",9,16,10,2.2,2
"North East Atlantic",9,17,10,1.9,2
"North East Atlantic",9,18,9,2.11,2
"North East Atlantic",9,19,9,2.22,2
"North East Atlantic",9,20,9,2.22,2
"North East Atlantic",9,21,10,2,2
"North East Atlantic",9,22,10,2.8,3
"North East Atlantic",9,23,20,1.75,2
"North East Atlantic",9,25,9,1,1
"North East Atlantic",9,26,9,1,1
"North East Atlantic",9,27,9,1.22,1
"North East Atlantic",9,28,9,1.22,1
"North East Atlantic",9,29,9,1.22,1
"North East Atlantic",9,30,9,1.33,1
"North East Atlantic",9,31,9,1.33,1
"North East Atlantic",9,32,10,1.7,2
